City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kavieng,PG,-2.5744,150.7967,80.29,81,100,5.44,moderate rain
79,Vytegra,RU,61.0064,36.4481,25.79,90,100,10.2,overcast clouds
80,Mahon,ES,39.8885,4.2658,46.96,93,20,6.91,few clouds
81,Lagoa,PT,39.05,-27.9833,59.65,79,98,13.73,overcast clouds
82,Kalianget,ID,-7.05,113.9333,75.94,93,100,8.46,overcast clouds
83,San Cristobal,VE,7.7669,-72.225,71.78,60,82,1.3,broken clouds
84,East London,ZA,-33.0153,27.9116,74.75,86,100,6.11,overcast clouds
85,Carnarvon,AU,-24.8667,113.6333,78.87,73,0,0.0,clear sky
86,Mogocha,RU,53.7333,119.7667,-17.09,97,96,3.87,overcast clouds
87,Qesarya,IL,32.5189,34.9046,52.23,74,0,6.22,clear sky
88,Lasa,IT,46.6166,10.7002,37.31,76,36,7.02,scattered clouds
89,Maniitsoq,GL,65.4167,-52.9,28.0,97,100,17.0,snow
90,Wollongong,AU,-34.4333,150.8833,73.18,88,100,10.13,overcast clouds
91,Castro,BR,-24.7911,-50.0119,72.28,69,55,6.93,broken clouds
92,Esperance,AU,-33.8667,121.9,73.24,93,100,4.76,overcast clouds
93,Buala,SB,-8.145,159.5921,75.78,96,100,2.39,very heavy rain
94,Atbasar,KZ,51.8,68.3333,14.27,94,100,18.25,light snow
95,Bambous Virieux,MU,-20.3428,57.7575,75.22,80,12,1.48,few clouds
96,Cherskiy,RU,68.75,161.3,-36.62,100,90,6.55,overcast clouds
97,North Bend,US,43.4065,-124.2243,63.16,75,0,8.05,clear sky
98,Barra Do Corda,BR,-5.5,-45.25,76.98,90,97,2.71,moderate rain
99,Noumea,NC,-22.2763,166.4572,81.0,99,76,7.27,broken clouds
100,Barrow,US,71.2906,-156.7887,-27.38,68,0,5.75,clear sky
101,Lebu,CL,-37.6167,-73.65,61.45,66,0,23.96,clear sky
102,Kodiak,US,57.79,-152.4072,38.71,93,100,3.44,light rain
103,Berbera,SO,10.4396,45.0143,75.18,65,27,6.42,scattered clouds
104,Sao Filipe,CV,14.8961,-24.4956,78.57,53,33,15.55,scattered clouds
105,Geraldton,AU,-28.7667,114.6,70.21,94,40,5.75,scattered clouds
106,Nouakchott,MR,18.0858,-15.9785,78.73,25,58,12.71,broken clouds
107,Pacific Grove,US,36.6177,-121.9166,82.62,38,0,6.91,clear sky
108,Puri,IN,19.8,85.85,64.92,76,59,4.97,broken clouds
109,Kalmar,SE,56.6616,16.3616,31.96,74,0,8.99,clear sky
110,Potiskum,NG,11.7091,11.0694,67.21,19,8,11.72,clear sky
111,Upernavik,GL,72.7868,-56.1549,-13.83,78,100,15.5,overcast clouds
112,Upata,VE,8.0086,-62.3989,81.19,50,48,9.48,scattered clouds
113,Yenagoa,NG,4.9247,6.2642,82.0,72,34,7.34,scattered clouds
114,Ribeira Grande,PT,38.5167,-28.7,59.4,72,20,5.75,few clouds
115,Belapatfalva,HU,48.05,20.3667,37.38,61,100,10.6,overcast clouds
116,Toora-Khem,RU,52.4675,96.11,-28.88,100,94,0.94,overcast clouds
117,Hervey Bay,AU,-25.2986,152.8535,73.04,72,14,14.36,few clouds
118,Itoman,JP,26.1247,127.6694,66.58,77,38,10.36,scattered clouds
119,Palmer,US,42.1584,-72.3287,53.65,35,75,16.11,broken clouds
120,Saint-Philippe,RE,-21.3585,55.7679,76.59,72,32,7.38,scattered clouds
121,Aripuana,BR,-9.1667,-60.6333,79.9,89,100,1.16,overcast clouds
122,Narsaq,GL,60.9167,-46.05,21.42,78,100,6.04,overcast clouds
123,Fortuna,US,40.5982,-124.1573,73.92,50,0,4.61,clear sky
124,Avarua,CK,-21.2078,-159.775,82.45,74,59,11.5,broken clouds
125,Vaini,TO,-21.2,-175.2,84.36,89,40,6.91,scattered clouds
126,Tasiilaq,GL,65.6145,-37.6368,14.16,64,100,5.32,overcast clouds
127,Hobart,AU,-42.8794,147.3294,56.26,73,75,11.5,broken clouds
128,Alice Springs,AU,-23.7,133.8833,60.35,82,0,0.0,clear sky
129,Ortakoy,TR,38.7373,34.0387,16.05,90,6,1.63,clear sky
130,Enterprise,US,36.0252,-115.2419,76.77,18,0,8.05,clear sky
131,Peniche,PT,39.3558,-9.3811,61.61,91,100,6.82,overcast clouds
132,Aldan,RU,58.6031,125.3894,-20.16,100,100,1.34,overcast clouds
133,Kulhudhuffushi,MV,6.6221,73.07,81.36,72,99,3.71,overcast clouds
